Data,Acre,Amapá,Amazonas,Pará,Rondônia,Roraima,Tocantins,Alagoas,Bahia,Ceará,Maranhão,Paraíba,Pernambuco,Piauí,Rio Grande do Norte,Sergipe,Paraná,Rio Grande do Sul,Santa Catarina,Espírito Santo,Minas Gerais,Rio de Janeiro,São Paulo,Distrito Federal,Goiás,Mato Grosso,Mato Grosso do Sul
2020-05-10,112,120,674,481,39,88,116,86,384,813,834,185,805,45,9,183,50,49,57,187,114,133,1033,106,24,17,16
2020-05-11,13,58,320,307,94,5,59,85,250,907,545,184,493,54,61,29,14,34,100,220,83,877,687,101,7,22,23
2020-05-12,130,239,1249,1053,64,33,81,237,396,813,382,252,541,111,44,232,57,341,204,268,115,547,1588,196,15,50,20
2020-05-13,104,95,1648,1002,152,83,104,181,343,744,586,268,592,169,334,236,90,0,95,314,298,242,3378,213,19,70,25
2020-05-14,46,423,1365,1249,74,89,97,211,408,1921,689,316,687,172,170,226,67,80,504,412,217,739,3189,224,289,58,22
2020-05-15,45,202,1211,1242,103,89,150,240,1173,1413,938,378,621,121,249,374,76,600,230,385,246,520,4092,371,149,60,27
2020-05-16,82,204,1285,1075,130,117,100,381,186,1305,853,324,2279,180,218,267,103,98,116,397,278,1614,2805,353,68,72,29
2020-05-17,130,118,651,680,44,85,103,223,129,460,900,284,964,167,133,208,44,40,98,149,137,637,1162,228,52,50,62
2020-05-18,237,71,585,870,80,85,114,215,138,2108,746,439,642,35,47,223,74,0,399,413,84,4427,721,251,57,36,43
2020-05-19,248,287,1219,1561,214,109,150,285,2432,1749,960,514,1148,153,299,401,121,15,238,536,282,1140,2929,234,97,58,29
2020-05-20,335,239,1572,1840,242,82,163,121,184,2448,916,538,1318,197,313,310,135,1223,86,399,309,2567,3864,308,132,59,51
2020-05-21,286,639,1663,1621,160,79,167,479,744,853,944,400,1351,215,264,457,194,500,111,786,310,1717,3880,381,136,118,53
2020-05-22,240,467,1671,1713,115,160,229,386,616,3160,1154,644,1849,222,191,188,129,445,848,642,399,1500,3132,406,190,48,59
